zone	region	ID
"Casamance"	"Kolda"	429
"Casamance"	"Kolda"	430
"Casamance"	"Kolda"	431
"Casamance"	"Kolda"	432
"Casamance"	"Kolda"	433
"Casamance"	"Kolda"	434
"Casamance"	"Kolda"	435
"Casamance"	"Kolda"	436
"Casamance"	"Kolda"	437
"Casamance"	"Kolda"	438
"Casamance"	"Kolda"	439
"Casamance"	"Kolda"	440
"Casamance"	"Kolda"	441
"Casamance"	"Kolda"	442
"Casamance"	"Kolda"	443
"Casamance"	"Kolda"	444
"Casamance"	"Kolda"	445
"Casamance"	"Kolda"	446
"Casamance"	"Kolda"	447
"Casamance"	"Kolda"	448
"Casamance"	"Kolda"	449
"Casamance"	"Kolda"	450
"Bassin Arachidier"	"Kaolack"	451
"Bassin Arachidier"	"Kaolack"	452
"Bassin Arachidier"	"Kaolack"	453
"Bassin Arachidier"	"Kaolack"	454
"Bassin Arachidier"	"Kaolack"	455
"Bassin Arachidier"	"Kaolack"	456
"Bassin Arachidier"	"Kaolack"	457
"Bassin Arachidier"	"Kaolack"	458
"Bassin Arachidier"	"Kaolack"	459
"Vallée du Fleuve Sénégal"	"St-Louis"	460
"Vallée du Fleuve Sénégal"	"St-Louis"	461
"Vallée du Fleuve Sénégal"	"St-Louis"	462
"Vallée du Fleuve Sénégal"	"St-Louis"	463
"Vallée du Fleuve Sénégal"	"St-Louis"	464
"Vallée du Fleuve Sénégal"	"St-Louis"	465
"Vallée du Fleuve Sénégal"	"St-Louis"	466
"Vallée du Fleuve Sénégal"	"St-Louis"	467
"Bassin Arachidier"	"Kaolack"	468
"Bassin Arachidier"	"Kaolack"	469
"Bassin Arachidier"	"Kaolack"	470
"Bassin Arachidier"	"Kaolack"	471
"Bassin Arachidier"	"Kaolack"	472
"Bassin Arachidier"	"Kaolack"	473
"Bassin Arachidier"	"Kaolack"	474
"Bassin Arachidier"	"Kaolack"	475
"Bassin Arachidier"	"Kaolack"	476
"Bassin Arachidier"	"Kaolack"	477
"Bassin Arachidier"	"Kaolack"	478
"Casamance"	"Kolda"	479
"Casamance"	"Kolda"	480
"Casamance"	"Kolda"	481
"Casamance"	"Kolda"	482
"Casamance"	"Kolda"	483
"Casamance"	"Kolda"	484
"Casamance"	"Kolda"	485
"Casamance"	"Kolda"	486
"Casamance"	"Kolda"	487
"Casamance"	"Kolda"	488
"Casamance"	"Kolda"	489
"Casamance"	"Kolda"	490
"Casamance"	"Kolda"	491
"Bassin Arachidier"	"Kaolack"	492
"Bassin Arachidier"	"Kaolack"	493
"Bassin Arachidier"	"Kaolack"	494
"Bassin Arachidier"	"Kaolack"	495
"Bassin Arachidier"	"Kaolack"	496
"Bassin Arachidier"	"Kaolack"	497
"Bassin Arachidier"	"Kaolack"	498
"Bassin Arachidier"	"Kaolack"	499
"Casamance"	"Sedhiou"	500
"Casamance"	"Sedhiou"	501
"Casamance"	"Sedhiou"	502
"Casamance"	"Sedhiou"	503
"Casamance"	"Sedhiou"	504
"Casamance"	"Sedhiou"	505
"Casamance"	"Sedhiou"	506
"Casamance"	"Sedhiou"	507
"Casamance"	"Sedhiou"	508
"Casamance"	"Sedhiou"	509
"Casamance"	"Sedhiou"	510
"Casamance"	"Sedhiou"	511
"Casamance"	"Sedhiou"	512
"Casamance"	"Sedhiou"	513
"Casamance"	"Sedhiou"	514
"Casamance"	"Sedhiou"	515
"Casamance"	"Sedhiou"	516
"Casamance"	"Sedhiou"	517
"Casamance"	"Sedhiou"	518
"Casamance"	"Sedhiou"	519
"Casamance"	"Sedhiou"	520
"Casamance"	"Sedhiou"	521
"Casamance"	"Sedhiou"	522
"Casamance"	"Sedhiou"	523
"Casamance"	"Sedhiou"	524
"Casamance"	"Sedhiou"	525
"Casamance"	"Sedhiou"	526
"Casamance"	"Sedhiou"	527
"Casamance"	"Sedhiou"	528
"Casamance"	"Sedhiou"	529
"Vallée du Fleuve Sénégal"	"St-Louis"	530
"Vallée du Fleuve Sénégal"	"St-Louis"	531
"Vallée du Fleuve Sénégal"	"St-Louis"	532
"Vallée du Fleuve Sénégal"	"St-Louis"	533
"Vallée du Fleuve Sénégal"	"St-Louis"	534
"Vallée du Fleuve Sénégal"	"St-Louis"	535
"Vallée du Fleuve Sénégal"	"St-Louis"	536
"Vallée du Fleuve Sénégal"	"St-Louis"	537
"Vallée du Fleuve Sénégal"	"St-Louis"	538
"Vallée du Fleuve Sénégal"	"St-Louis"	539
"Vallée du Fleuve Sénégal"	"St-Louis"	540
"Vallée du Fleuve Sénégal"	"St-Louis"	541
"Vallée du Fleuve Sénégal"	"St-Louis"	542
"Vallée du Fleuve Sénégal"	"St-Louis"	543
"Vallée du Fleuve Sénégal"	"St-Louis"	544
"Vallée du Fleuve Sénégal"	"St-Louis"	545
"Vallée du Fleuve Sénégal"	"St-Louis"	546
"Vallée du Fleuve Sénégal"	"St-Louis"	547
"Vallée du Fleuve Sénégal"	"St-Louis"	548
"Vallée du Fleuve Sénégal"	"St-Louis"	549
"Niayes"	"Louga"	550
"Sénégal oriental"	"Tambacounda"	551
"Sénégal oriental"	"Tambacounda"	552
"Sénégal oriental"	"Tambacounda"	553
"Sénégal oriental"	"Tambacounda"	554
"Sénégal oriental"	"Tambacounda"	555
"Sénégal oriental"	"Tambacounda"	556
"Sénégal oriental"	"Tambacounda"	557
"Sénégal oriental"	"Tambacounda"	558
"Sénégal oriental"	"Tambacounda"	559
"Sénégal oriental"	"Tambacounda"	560
"Sénégal oriental"	"Tambacounda"	561
"Sénégal oriental"	"Tambacounda"	562
"Sénégal oriental"	"Tambacounda"	563
"Sénégal oriental"	"Tambacounda"	564
"Sénégal oriental"	"Tambacounda"	565
"Sénégal oriental"	"Tambacounda"	566
"Sénégal oriental"	"Tambacounda"	567
"Sénégal oriental"	"Tambacounda"	568
"Sénégal oriental"	"Tambacounda"	569
"Sénégal oriental"	"Tambacounda"	570
"Sénégal oriental"	"Tambacounda"	571
"Sénégal oriental"	"Tambacounda"	572
"Sénégal oriental"	"Tambacounda"	573
"Sénégal oriental"	"Tambacounda"	574
"Sénégal oriental"	"Tambacounda"	575
"Sénégal oriental"	"Tambacounda"	576
"Sénégal oriental"	"Tambacounda"	577
"Sénégal oriental"	"Tambacounda"	578
"Sénégal oriental"	"Tambacounda"	579
"Sénégal oriental"	"Tambacounda"	580
"Sénégal oriental"	"Tambacounda"	581
"Sénégal oriental"	"Tambacounda"	582
"Sénégal oriental"	"Tambacounda"	583
"Sénégal oriental"	"Tambacounda"	584
"Sénégal oriental"	"Tambacounda"	585
"Sénégal oriental"	"Tambacounda"	586
"Sénégal oriental"	"Tambacounda"	587
"Sénégal oriental"	"Tambacounda"	588
"Sénégal oriental"	"Tambacounda"	589
"Sénégal oriental"	"Tambacounda"	590
"Sénégal oriental"	"Tambacounda"	591
